	name	hematokrit	smoker	leukocyty	relationship	ssn	alt	weight	erytrocyty	alp	ast	er-cv	etytr	hemoglobin	trombocyty	indicator	hbver
1204	Stephen Scott	3.50466	no	7.21259	nop	458-11-2367	1.04692	111.78222	6.94215	89.67881	51.94672	48.91748	6.91978	6.41726	8.83280	1.00000	6.95592
1205	Bruce Mclean	6.79240	N	7.21784	widowed	790-22-4816	0.40327	36.34021	5.32402	36.62958	23.53245	38.64538	8.85317	8.04618	9.66263	1.00000	6.10666
1206	Melanie Riley	6.37848	no	8.82348	divoced	494-27-6955	1.31774	29.92269	8.24537	87.03894	47.60283	49.15651	8.85913	6.59112	6.81577	1.00000	6.38012
1207	Dr. Betty Preston	4.99397	no	5.00362	married	179-74-6392	2.86913	109.06556	8.91694	70.56691	51.56585	55.04078	6.72926	5.22213	4.59991	0.00000	6.68150
1208	Michael Jackson	9.18632	no	5.03473	separated	845-27-8099	0.48280	-59.89279	5.52703	65.96000	54.33814	44.29711	7.17802	5.33285	7.07201	1.00000	8.46080
1209	Charles Anderson	7.82072	no	6.82005	married	378-41-1396	0.31135	98.58956	4.64366	84.23299	60.46438	38.71960	8.80393	6.01302	8.53392	1.00000	6.86062
1210	Kimberly Anderson	5.62055	no	6.62370	nop	796-51-7924	0.71936	46.86651	5.26116	42.23305	14.76940	52.01069	5.40442	4.59414	10.03943	1.00000	5.41927
1211	Robyn Evans DDS	6.73668	no	6.39635	married	233-94-5958	0.78247	69.72566	6.66557	56.54435	51.72697	37.61048	4.06505	7.50259	4.51485	0.00000	7.35740
1212	Hannah Gates	5.92209	yes	8.86006	divoced	226-99-6352	0.66637	81.35666	6.93646	78.73524	48.36480	50.51324	6.82827	6.50780	8.24399	1.00000	6.03460
1213	Derek Gibson	7.94608	no	4.65425	married	680-58-1940	0.55905	25.43525	5.72410	46.19589	59.63891	71.13542	6.93873	4.62185	7.47335	1.00000	6.25346
1214	Alexis Harrison	6.99508	Y	7.17818	married	819-59-6498	0.76666	159.10346	7.00319	61.47587	50.18383	13.81755	5.62009	5.02992	4.78371	0.00000	7.46613
1215	Jamie Harvey	6.27237	no	7.90290	single	838-62-5775	1.65756	57.50162	8.36758	22.16987	57.52110	64.91869	6.11537	8.66558	6.73097	1.00000	7.59058
1216	Sandra Li	8.47776	no	5.58033	divoced	294-09-8268	0.49042	114.21731	4.64524	73.46050	57.80877	38.54015	5.76091	7.25310	7.11571	1.00000	6.41195
1217	Dr. Christopher Garcia	9.14745	no	9.33217	single	292-67-2163	1.72647	54.71985	8.54466	86.65677	64.33321	49.08836	5.04750	6.33332	6.96073	0.00000	6.23975
1218	Jonathan Burton	4.62260	Y	9.39216	divoced	620-72-6150	0.38145	91.46982	6.40782	84.83464	52.25713	50.33819	4.40831	6.68071	9.17745	0.00000	6.28178
1219	Brandi Lucas	5.64069	no	5.02444	married	532-24-4965	0.16187	40.84027	5.65789	61.93535	56.06331	64.08552	7.34945	7.59322	8.51769	1.00000	7.17306
1220	Nicole Robertson	4.77927	Y	5.35239	divoced	860-59-6709	1.52510	19.89710	8.25795	55.54698	60.23908	49.42679	6.64622	7.85448	7.26446	1.00000	6.57968
1221	Jordan Contreras	5.72638	yes	4.56652	separated	843-08-3791	0.64105	92.01412	7.42931	44.64858	67.03697	36.39220	4.21055	4.58752	6.20697	0.00000	6.01082
1222	Tamara Wilson	5.34064	N	7.17552	married	587-23-0248	2.90493	141.70670	8.96365	83.92973	35.89559	45.18711	7.36263	5.96403	5.42182	0.00000	6.22305
1223	Michael Allen	9.05810	no	4.70019	single	750-44-0355	0.51613	72.81970	4.45428	83.97393	71.94209	39.48963	8.25345	5.99927	6.14685	1.00000	6.67461
1224	Dr. Robert Burns	5.73533	no	7.27579	single	665-47-2144	0.99673	20.55133	7.49280	85.43458	40.04630	42.03099	6.60801	5.71820	7.82061	1.00000	7.61506
1225	Jeremiah Bennett	4.30597	no	7.56087	widowed	553-56-3882	7.01939	84.81282	10.03468	77.15785	46.54701	42.20381	7.33593	7.06650	5.61374	1.00000	7.29957
1226	Renee Wilkinson	6.02540	no	7.35550	single	271-06-2142	0.49602	18.53178	6.98608	68.97118	51.19685	32.97942	4.64475	7.32596	8.21092	1.00000	6.29124
1227	Dustin Oneal	4.81479	Y	5.31221	separated	828-02-1024	0.80568	76.35053	7.50919	58.13957	53.10503	41.02821	6.94757	7.57751	6.75860	0.00000	6.77355
1228	Christopher Combs	4.90826	yes	5.36068	single	521-23-4677	1.00464	112.48431	7.91456	81.73809	81.80651	61.08034	4.41944	5.54750	4.34947	0.00000	7.58744
1229	Dr. Tiffany White	6.76210	no	7.18778	single	601-60-5000	0.65035	120.91763	6.47457	77.37798	38.57317	53.80312	6.13006	5.46382	8.50100	0.00000	5.30439
1230	Deborah Anderson	7.75411	no	6.13628	widowed	424-85-7836	0.37491	79.83130	4.89047	82.90321	47.06372	67.06188	5.64887	6.97088	7.97446	1.00000	6.66788
1231	Phillip Boyd	5.01762	yes	2.61501	married	579-71-9947	1.03006	66.96683	7.91989	61.97816	56.23109	45.53367	6.82684	7.40839	2.50344	0.00000	7.03661
1232	Carrie Smith	4.80245	no	7.27830	nop	560-84-0544	0.69582	72.72716	6.82435	79.68919	44.73257	58.40095	5.78017	6.76577	8.61558	1.00000	7.00289
1233	Sarah Ellis	6.73700	no	5.58103	divoced	092-53-7566	0.48046	95.45178	5.59884	91.88324	49.09067	42.86765	6.29515	6.60301	8.47631	1.00000	7.36974
1234	Nicole Larson DDS	8.54721	no	6.45240	divoced	487-89-0684	0.31526	1.34830	2.33585	78.84770	43.96448	47.75379	7.58440	5.98310	6.34876	1.00000	6.10282
1235	Dr. Samuel Trevino	6.52401	no	5.17298	single	501-31-9319	0.37357	113.95471	4.85707	49.32841	60.95105	80.79620	6.33012	4.67101	7.71232	1.00000	7.34688
1236	Christian Mitchell	6.51769	no	7.04254	widowed	117-22-4508	0.32574	117.05808	6.58082	85.71890	40.06681	21.69395	7.15331	6.85859	10.47479	1.00000	6.37053
1237	Benjamin Pena	8.68961	no	7.05725	divoced	142-72-7093	0.49249	113.85800	4.74686	75.24386	39.66648	30.90928	7.01728	6.73252	8.48408	1.00000	6.03429
1238	Jason Hernandez	6.99405	yes	5.30554	single	075-86-1265	0.53148	90.01548	4.54571	82.94931	66.31871	41.07620	6.59318	6.22948	10.43255	1.00000	5.57922
1239	Richard Richardson	6.08117	no	3.66649	married	350-79-0509	0.56486	53.29404	4.84817	86.77449	57.87424	41.70226	6.68618	6.29749	4.06449	0.00000	6.65667
1240	Barbara Cox MD	6.26980	no	5.40425	single	799-60-5764	0.96012	76.99125	7.83081	91.47607	62.27639	69.06068	5.86620	6.25562	5.84818	0.00000	6.59283
1241	Victoria Ashley	6.74151	Y	9.39303	divoced	405-73-0406	2.14747	70.72901	8.59586	79.24995	49.03406	55.30022	6.64235	5.44172	6.35905	1.00000	8.17377
1242	Colton Johnson	4.30638	no	6.06584	separated	836-60-6329	0.88988	85.09151	7.40071	64.82041	51.26224	46.40002	5.80549	7.46040	8.16546	1.00000	6.93616
1243	Hailey Fisher	4.54024	no	4.02147	divoced	657-84-3098	2.17701	51.95448	8.72853	71.15861	47.23907	40.54898	5.79642	7.15660	2.14801	0.00000	7.31228
1244	William Harding	8.36548	no	7.27841	divoced	061-62-8734	0.74554	105.11236	7.65338	64.04103	44.96941	45.96068	6.60709	7.30744	6.13000	0.00000	8.00004
1245	Cesar Hampton Jr.	3.80239	yes	6.78918	married	602-97-2770	4.09816	92.04755	9.47956	87.67455	50.93637	62.40507	6.08497	6.50718	6.22754	1.00000	5.94042
1246	Kellie Ayers	7.78695	yes	6.32929	divoced	835-86-6877	0.31788	49.52470	3.13472	28.89905	51.04319	55.15846	5.65637	8.36700	7.03049	1.00000	6.30929
1247	Dawn Morales	5.64769	Y	7.63045	single	264-60-0086	0.45414	40.96239	5.99106	82.95372	36.97556	45.04048	5.72432	5.46035		1.00000	7.48623
1248	Diana Reynolds	8.89711	yes	5.28657	divoced	293-13-7851	0.24507	79.06462	4.98889	87.86780	57.39934	75.09182	5.54955	6.57140	6.98077	1.00000	6.50047
1249	Paul Flores	7.78893	no	4.05434	married	606-98-0868	0.39231	75.63793	4.74290	84.75873	86.94780	52.39265	8.77522	6.36418	6.36198	1.00000	8.02543
1250	Heather Wilson	9.37403	yes	5.86619	single	397-81-5592	0.36150	100.78191	3.76418	87.52064	31.54260	37.41260	6.85599	5.54838	6.57451	1.00000	4.21287
1251	Sherry Lambert	8.06322	no	7.30778	single	024-08-2008	0.31271	14.95392	5.79349	73.59600	45.46219	58.48562	8.74324	6.84271	9.54364	1.00000	7.08378
1252	Craig Lewis	5.01539	no	7.99360	divoced	004-15-9949	1.08764	111.10018	7.43823	80.49204	44.83320	74.04669	8.52158	6.62322	7.98980	1.00000	6.94546
1253	Catherine Moore	6.75473	no	4.85052	widowed	225-60-4193	0.59451	77.89900	5.24384	82.57460	66.44065	61.65235	7.03973	6.34692	7.58583	1.00000	5.67176
1254	Bonnie Johnson	8.72326	yes	8.26367	nop	161-38-9393	0.89298	62.80032	7.95741	78.85846	71.91956	62.86785	7.33346	6.46817	6.70853	0.00000	6.91528
1255	Sylvia Nguyen	4.55481	no	7.34431	divoced	502-49-0312	2.59429	2.81241	8.86295	84.12743	37.20534	16.46394	6.72348	6.38428	6.62511	1.00000	7.80997
1256	Mario Jones	8.19942	no	8.36386	nop	109-93-0566	2.06304	109.45476	8.60591	85.08983	50.52330	58.98035	4.88508	6.82101	5.50018	0.00000	6.75267
1257	Gina Jones	8.61621	no	4.96517	separated	737-35-7237	0.16964	117.25551	4.05399	72.04724	90.96779	64.58116	5.87078	5.33432	6.29228	1.00000	7.10490
1258	Andrea Sutton	4.94951	no	8.78838	divoced	743-34-4792	0.78705	60.14597	7.05058	77.86645	34.43871	56.65485	6.10707	6.96110	8.24886	0.00000	4.37633
1259	Felicia Clark	5.28122	no	6.85182	single	046-37-4049	0.61656	57.79889	7.30449	56.89666	48.56353	41.79484	5.09457	7.78904	7.48342	0.00000	6.89332
1260	Linda Johnson	4.24928	no	7.50077	divoced	847-24-9489	1.84968	57.90916	8.55898	85.47680	55.10594	39.77326	7.17671	6.06724	7.10468	1.00000	5.96798
1261	Carla Brown DVM	5.89178	yes	9.54915	married	596-46-0617	0.76036	46.32094	6.75581	84.65566	56.48149	35.97156	7.32021	5.66837	8.48270	1.00000	5.72667
1262	Patricia Chapman	5.25142	yes	7.68405	married	102-18-0725	1.69418	73.16676	8.38735	80.50452	39.80838	56.63424	7.65789	6.38164	6.96192	1.00000	3.56026
1263	Miss Alicia Lee	4.25837	no	3.62322	divoced	476-41-1672	0.79745	77.25750	7.21040	79.75542	64.72401	48.99871	5.59162	5.69574	6.43062	0.00000	6.86451
1264	Maria West	4.63417	no	7.98891	single	599-50-5028	1.19045	93.22912	7.80671	59.01845	53.55704	66.32566	7.35142	7.67080	7.71613	1.00000	5.31149
1265	Derrick Walton	9.52836	no	3.99393	divoced	302-12-8131	0.55379	61.04135	5.31309	75.19185	74.99537	27.96113	7.76964	5.70869	5.98251	1.00000	6.75107
1266	Jeffrey King	5.51936	no	6.67586	single	576-55-5197	0.92777	13.05804	7.49181	72.38266	58.45961	27.16244	5.44514	7.04211	7.74721	1.00000	6.69993
1267	Matthew Wolfe	4.70454	Y	9.42824	divoced	861-03-6124	4.21128	71.30303	9.46199	83.80643	63.30351	33.06648	3.49626	6.70625	5.95696	1.00000	6.38738
1268	Tina Fletcher	9.26965	no	5.15829	married	635-91-5546	0.47720	49.18846	3.98103	79.75874	49.64139	72.95422	5.27487	6.85671	6.19882	1.00000	7.39040
1269	Amber Ortiz	5.30935	Y	7.10351	separated	119-82-3029	1.25815	96.77504	8.15286	42.90169	69.84985	29.19950	7.62531	4.41233	5.80782	0.00000	5.23047
1270	Ruth Bauer	9.58763	Y	5.18643	divoced	400-78-7972	0.53170	109.62289	2.99124	68.40702	49.24186	44.89816	5.34430	5.43365	5.35871	1.00000	7.48337
1271	Kristen Ortiz	3.61188	N	6.31277	divoced	444-90-1169	1.37495	0.20375	8.29119	60.24149	66.26551	23.90099	5.70614	4.92997	7.42453	1.00000	5.87955
1272	Samantha Burnett	4.49164	yes	7.90383	nop	413-96-0776	1.30464	17.86256	8.03830	91.49181	43.20847	21.47111	6.56664	6.18057	7.46079	1.00000	7.11242
1273	Donna Huerta	5.53902	no	6.50787	married	564-22-5356	1.51649	6.42873	8.19661	19.41762	65.60147	45.02984	6.09182	8.72618	6.14056	0.00000	5.28631
1274	Lori Crawford	5.40112	no	5.14552	divoced	002-03-6792	0.95077	105.97340	6.00647	80.19522	66.29729	37.84878	7.61295	5.84012	4.56414	0.00000	6.00412
1275	Cynthia Scott	5.09145	yes	7.39622	nop	352-96-1920	1.32284	71.07210	7.73646	75.04256	58.43814	43.73969	4.33986	7.06242	1.46091	0.00000	6.16108
1276	Mark Manning	7.75259	yes	4.78067	nop	280-44-7952	0.43977	79.31032	5.26567	49.07109	43.20771	30.00667	7.63914	7.72400	7.19497	1.00000	5.96053
1277	Dustin Wyatt	6.57451	no	7.36200	widowed	107-39-1474	0.49267	85.52138	5.24963	82.44352	35.84840	30.12702	7.29684	6.25364	9.80111	1.00000	7.28652
1278	Johnny Reed	9.54552	yes	7.75256	single	156-44-8217	0.87794	109.60010	7.12821	59.72393	54.69790	33.73233	6.16372	5.17402	8.12289	0.00000	7.35172
1279	Penny Johnson	5.25237	Y	4.57994	divoced	564-34-5413	2.71077	147.33631	8.95915	48.56598	63.17503	45.93631	6.34473	7.97417	6.02579	0.00000	5.67437
1280	John Ramirez	5.40880	no	3.62224	nop	755-75-5787	0.79381	26.18995	7.43560	86.60271	37.94454	42.40030	7.37023	5.99503	4.92657	0.00000	5.17333
1281	Linda Johnson	7.61794	yes	5.99509	married	847-24-9489	0.46813	91.50493	5.27477	58.04294	51.12821	73.13454	6.29974	7.62958	9.54906	1.00000	5.82417
1282	Bonnie Moses	4.74078	no	5.73985	single	563-93-8866	3.08016	86.97283	9.05417	89.70977	58.74311	48.29872	6.88808	6.26541	6.42660	1.00000	6.64146
1283	Lauren Lutz	7.71570	N	8.00267	separated	237-67-8682	0.60562	124.38189	7.10059	84.98566	74.47534	45.47402	6.51581	6.81566	7.66724	1.00000	6.87118
1284	William Perez Jr.	3.37844	no	5.74007	nop	355-72-6246	3.05410	125.39447	9.08051	82.23553	47.44997	39.30315	7.47249	6.75508	6.70120	1.00000	9.00420
1285	Elijah Hayes	8.21425	no	3.20125	divoced	671-43-8025	0.72282	58.46543	6.94092	70.19506	66.60336	39.58563	6.40213	7.21926	6.96889	1.00000	6.87102
1286	David Stewart	8.09286	Y	7.11133	divoced	757-52-5846	0.47340	155.99662	5.33940	86.97543	56.04802	65.76763	5.33740	6.60195	8.94189	1.00000	6.42211
1287	Nicole Hunter	4.32488	N	7.88909	single	258-58-6828	0.78833	90.41658	6.86350	59.66693	36.10602	37.61764	6.46131	7.38775	8.74185	1.00000	6.42456
1288	Morgan Gibbs	4.75103	yes	9.26939	divoced	570-60-4998	1.04292	-10.15934	7.62017	8.81236	53.57941	32.53239	6.49380	3.53386	7.77073	1.00000	5.86857
1289	David Henderson	9.67254	no	9.77187	single	601-97-9826	6.96816	9.41380	10.02526	80.54377	39.11638		5.99429	6.67142	6.87655	0.00000	8.03713
1290	Curtis Doyle	6.73812	N	3.63519	single	044-78-2244	0.55612	110.52630	6.21211	86.25566	62.24175	39.23365	7.34081	6.02317	5.85375	0.00000	7.46024
1291	Rachel Smith	6.09486	N	9.35891	divoced	352-89-3441	1.08931	62.41066	7.59503	89.48440	52.98278	50.31099	6.01421	6.80662	7.54978	1.00000	6.07580
1292	Amanda Blackburn DVM	4.34021	N	9.26610	divoced	015-22-6126	0.37514	82.41332	6.53765	81.64595	37.12596	32.59082	7.42415	6.49367	9.03204	1.00000	6.48048
1293	Justin Montgomery	6.72785	no	7.44836	nop	765-21-1498	1.57061	53.70540	8.11218	41.00390	32.55860	62.32767	8.02939	8.14636	6.95713	1.00000	5.68003
1294	Rachel Davis	5.23300	no	6.48063	divoced	132-98-1844	0.55064	144.84007	6.87473	31.15696	54.43061	66.63925	7.50548	8.46932	8.47302	1.00000	6.41009
1295	Misty Navarro	7.43096	N	7.20648	divoced	227-10-6457	1.08113	71.48417	8.32496	71.13588	52.60866	51.82445	8.06838	5.42801	4.46676	0.00000	6.77368
1296	Anthony Smith	4.81496	yes	6.99738	divoced	247-67-9004	0.11405	3.32151	5.06894	51.28716	58.99290	57.50872	6.00708	7.83433	10.00873	1.00000	6.93517
1297	Shawna Manning	5.07644	N	6.76531	widowed	701-56-5919	2.19445	51.51058	8.90345	53.45702	48.62744	43.53443	6.27527	7.65108	6.45250	1.00000	7.98773
1298	Deborah George	5.36716	no	7.51245	separated	875-29-4379	0.67565	54.35183	6.56478	90.02571	63.76711	48.01056	6.71204	6.34103	8.79188	1.00000	5.87141
1299	Rebecca Cook	8.13588	yes	9.33538	married	427-49-6784	2.16115	73.18558	8.68854	75.12631	59.12028	37.54176	7.07477	5.41666	5.51131	0.00000	4.99320
1300	James Fowler	4.70219	no	4.70704	divoced	802-01-1244	0.73767	65.18535	7.57960	67.76668	39.41885	54.01262	6.14294	5.26337	9.88556	1.00000	4.32570
1301	Samuel Allen	4.92378	no	7.23369	married	358-74-2413	1.35487	62.46505	8.16596	57.87839	57.29413	52.35521	7.43211	4.85650	6.26477	0.00000	5.09673
1302	Christopher Graves	9.68581	no	9.00306	married	575-35-6370	1.49906	60.30132	8.32480	83.97808	48.07827	65.82384	6.04112	5.94427	7.82427	0.00000	5.00356
1303	Kelly Clark	5.69541	Y	7.93818	single	146-53-8149	1.05175	82.88271	8.09065	83.90085	52.76597	59.79585	6.95317	6.83078	7.16581	1.00000	5.82611
1304	Shawna Manning	5.88833	Y	7.61639	divoced	701-56-5919	0.63193	94.74147	6.91159	86.45890	66.33377	35.47076	5.13859	6.47857	8.38298	1.00000	7.10184
1305	Joann Williams	6.14126	no	8.90202	married	402-84-2775	1.74747	36.85093	8.23309	65.32043	54.16787	52.41907	7.67982	5.30014	6.90777	1.00000	6.09845
1306	William Martinez	6.75473	yes	5.36702	married	582-62-0982	0.64081	81.99234	4.72667	56.91850	37.92369	53.69664	5.65009	4.91810	7.79955	1.00000	5.22024
1307	Thomas Pena	4.76069	yes	6.79222	divoced	113-55-8469	1.95191	90.28780	8.55385	71.98840	60.77390	62.59776	6.98881	7.28031	6.85709	1.00000	5.89082
1308	Gina Reed	4.36219	yes	3.15561	divoced	585-31-8563	0.59063	61.97655	6.89848	39.93680	49.37888	48.93532	6.00666	8.24860	6.53290	0.00000	6.89083
1309	Cody Gonzalez	5.40153	no	4.28991	married	561-27-7178	1.60246	55.84904	8.19796	69.06018	51.12959	38.63229	7.83513	7.36797	4.94736	0.00000	6.14648
1310	Nathan Warner	6.98457	no	6.04781	divoced	107-27-1342	0.62354	45.79941	6.16933	72.50982	56.98418	33.24245	7.27609	5.54473	9.13987	1.00000	6.26650
1311	John Lewis	5.91018	no	4.61873	separated	656-12-2878	0.68876	58.54030	6.86315	75.64945	28.94510	50.26685	7.01389	6.91694	5.19201	0.00000	8.44257
1312	Breanna Garner	4.87396	yes	3.22159	single	211-72-6582	1.05239	83.02817	8.12138	82.55248	62.26765	45.78986	3.04974	5.84022	8.94143	1.00000	5.38799
1313	Anthony Valdez	7.10770	yes	4.76635	divoced	089-35-6237	0.61136	90.81430	6.64392	62.30506	56.92211	74.62164	7.93712	7.41119	8.34039	1.00000	5.64345
1314	Stephanie Wilson	5.98673	no	3.10462	divoced	014-33-2401	0.77747	50.33181	7.61604	65.29757	41.78169	40.17650	6.48522	7.41608	8.11907	1.00000	7.51153
1315	Laura Bennett	9.89113	no	3.92098	separated	630-07-4352	0.45674	89.96922	4.66103	81.38568	49.90648	71.29890	5.71622	6.66384	5.29282	1.00000	5.62376
1316	Jesus Johnston	4.08595	yes	7.24354	married	767-21-5350	1.68716	81.64321	8.25220	83.67072	65.96018	44.30027	5.67255	5.71874	7.27139	1.00000	7.29784
1317	Charles Scott	5.61040	no	6.82362	single	701-63-3246	1.61241	57.65413	8.12272	87.52225	51.76120	41.65780	7.71734	6.14985	5.27778	0.00000	7.82029
1318	Anne Gay	8.01163	no	6.45263	married	413-71-4904	0.73046	77.25845	7.02141	92.35693	40.33652	48.88630	4.55432	6.52451	6.10762	0.00000	5.63758
1319	Lisa Kelly	5.78907	no	8.57465	single	517-75-5092	0.69631	55.06104	6.74770	83.28800	68.81165	40.47797	6.41770	6.17508	8.50497	1.00000	6.75600
1320	Debbie Maynard	8.50822	yes	5.07688	married	471-24-5466	0.33955	42.51439	4.72982	85.35838	62.10923	56.92287	5.81376	6.29677	6.79588	1.00000	7.15384
1321	Mrs. Donna Edwards	8.77160	no	4.91527	widowed	871-03-0299	0.30531	99.96380	3.25929	87.23809	56.47321	62.51375	5.91216	6.10508	5.61726	1.00000	4.18309
1322	Paul Smith	5.77476	N	6.06909	married	893-86-4423	1.11592	165.54303	7.94464	76.70090	65.73236	32.42509	6.88238	7.00299	8.04643	0.00000	6.71232
1323	Linda Johnson	7.26712	no	8.40759	divoced	847-24-9489	0.91385	134.27333	7.61721	71.36041	57.59591	50.27551	7.62598	7.20054	4.83101	0.00000	5.62871
1324	Timothy Mcdonald	4.95283	no	10.37054	divoced	522-79-2129	0.52612	71.03811	5.18219	88.35360	70.30885	60.37567	8.06946	5.75673	10.19750	1.00000	6.62791
1325	Chloe Acevedo	8.58155	no	7.98909	married	089-89-6043	1.19287	89.05040	7.84807	82.66604	49.69442	57.46384	6.41467	5.72023	6.38858	0.00000	6.28903
1326	Jonathan Gordon	8.66116	yes	8.25632	single	861-59-0245	1.38684	33.47644	8.05032	82.79689	37.17731	82.57259	7.40567	5.89736	6.54485	0.00000	7.22932
1327	Brandi Williams	4.12689	Y	8.47373	widowed	545-59-2625	1.03304	71.59370	7.72839	82.93700	43.09904	19.97183	7.25085	6.63402	7.88934	1.00000	5.79053
1328	Cindy Washington	5.79140	no	7.90294	divoced	045-60-1470	1.32306	89.29920	8.11525	91.16213	52.74610	77.04722	6.73867	6.56899	7.10525	1.00000	6.89684
1329	Jared Carter	4.64064	no	7.04916	married	483-15-0452	1.90264	132.44811	8.34565	80.69281	41.96851	50.78850	5.51203	7.04159	7.19752	1.00000	7.30440
1330	Donald Mullen	5.76997	no	5.95286	single	781-54-1649	0.52637	29.41772	7.53906	76.34280	39.98068	70.69828	4.82810	5.36809	7.70619	1.00000	7.44453
1331	Nicole Baker	10.54526	yes	8.35974	married	222-47-8778	1.40012	100.53393	8.09939	74.96277	61.26101	45.58027	5.82252	5.29575	9.20970	0.00000	6.45164
1332	Rebecca Hartman	7.33280	no	8.32330	widowed	068-07-1818	0.81851	114.59611	7.29579	66.21706	69.18949	66.31447	6.96000	5.15741	7.59594	1.00000	6.41594
1333	James Green	4.44282	no	6.86730	divoced	893-31-8190	0.60199	39.98905	6.67116	86.03178	45.98609	51.77447	8.03163	5.87594	8.91417	1.00000	6.51823
1334	Melinda Cox	6.03403	no	8.11692	divoced	872-20-2923	1.43334	132.86730	7.95709	82.58746	61.13951	33.01578	6.88871	6.87662	7.29610	1.00000	5.45044
1335	Mr. Matthew Donaldson III	7.35554	no	5.40819	married	321-19-8286	0.57031	88.83488	4.19284	80.47736	55.32236	42.21504	5.41201	6.70282	7.16528	1.00000	5.02700
1336	Paula Delgado	4.46596	no	7.21356	married	468-59-0060	4.93422	40.07169	9.58262	43.73119	48.40286	58.87658	7.37513	4.57331	6.43980	0.00000	6.64417
1337	Christopher King	6.62584	no	6.66144	divoced	364-22-4919	0.59023	101.57767	6.18408	64.46424	44.83246	59.98206	7.42849	7.34266	4.60225	0.00000	6.65545
1338	Jacob Dixon	6.48280	Y	6.86168	nop	461-37-7803	1.39180	57.09041	8.01104	73.71357	48.04508	49.42997	6.92480	7.26515	7.05891	1.00000	7.02703
1339	Michael Olson	9.45230	yes	6.93526	widowed	513-06-6090	0.54378	71.32631	4.71284	69.26588	54.28020	53.18451	7.24878	5.09316	8.04653	1.00000	7.12471
1340	Samuel Sanders	9.85392	Y	3.93717	single	889-97-6208	0.60693	88.39162	5.41393	87.30875	45.27970	33.94006	5.02189	6.96611	5.84228	1.00000	5.48755
1341	Cindy Johnson	5.17525	no	4.97974	married	788-17-0944	0.55008	20.35659	6.08541	86.18419	41.07812	38.94720	5.87731	6.58109	9.36331	1.00000	6.20484
1342	Michelle Farmer	8.49466	no	5.22174	divoced	150-53-6276	0.51423	80.29297	4.86440	42.00928	74.01809	58.53029	7.30521	8.03742	7.05634	1.00000	7.65525
1343	Brian Thomas	5.09427	yes	8.69180	widowed	881-15-3667	2.10288	68.44639	8.62697	89.27977	55.09863	50.25518	5.26166	6.39111	6.69125	1.00000	5.99383
1344	Eddie Watts	5.16049	no	6.72572	divoced	171-21-1411	1.30524	67.09771	8.15221	26.26580	58.32167	71.81494	6.09439	4.10033	7.59868	0.00000	6.02078
1345	Michael Cunningham	6.76340	no	8.56157	single	801-30-9397	0.65171	63.67800	7.16617	83.66106	54.94043	45.36562	6.11475	5.99738	7.83865	1.00000	5.89627
1346	Monica Massey	5.74403	no	8.07103	married	712-90-7162	0.98200	75.51847	7.57586	62.74393	48.49085	47.37311	6.69303	5.02251	7.62979	1.00000	5.69247
1347	Kelly Wilson	9.93356	Y	8.78967	nop	727-64-4769	2.84499	51.22196	9.04061	62.37786	67.03552	69.88255	6.14220	7.55128	7.75089	0.00000	5.13079
1348	Alicia Cooper	5.61909	no	4.25291	married	535-43-5141	0.72408	47.19529	6.13050	64.04312	50.35702	64.06348	6.85790	7.38644	6.09815	0.00000	5.65998
1349	Pamela Arellano	6.03455	Y	4.00742	married	595-30-5857	0.94563	65.22526	7.67029	76.03149	60.56058	44.53438	6.37718	7.12682	5.84371	0.00000	6.35669
1350	Steven Church	8.01770	N	4.59073	married	026-93-3159	0.30343	66.19026	5.52141	74.65854	63.86657	32.45883	5.92612	5.68221	7.15938	1.00000	6.42469
1351	Ana Cohen	7.57099	yes	6.58892	married	150-10-5198	1.11922	26.46480	7.04612	80.47639	66.41169	20.09177	6.60906	7.05097	5.38947	0.00000	7.10030
1352	Anita Graham	4.23024	Y	6.40548	divoced	518-26-6887	0.58513	120.00165	7.14883	39.64243	51.26869	38.62137	5.94784	8.22828	8.56692	1.00000	5.88882
1353	Dillon Sanchez	7.98679	no	8.14406	divoced	894-83-5289	1.80346	72.92786	8.31172	84.67174	61.86870	34.42536	4.67305	6.44315	5.41207	0.00000	6.04640
1354	Kimberly Morton	4.83826	Y	5.42227	nop	686-88-4755	0.54639	47.89045	5.70669	50.17893	53.99027	30.63530	6.91180	4.84263	6.52312	0.00000	7.39223
1355	Felicia Hood	4.19122	no	7.72365	married	587-50-2778	0.85097	59.04220	7.18760	90.81688	45.09671	50.39218	5.98935	6.20919	8.40909	1.00000	5.02746
1356	Keith Miller	8.39521	Y	9.21560	divoced	746-63-5463	4.19603	78.50851	9.50508	65.29978	54.15908	51.40957	5.35602	5.16408	5.22657	0.00000	5.93718
1357	Jennifer Zuniga	6.05659	no	6.46899	single	325-72-6023	0.71652	68.61140	7.29280	78.09167	56.51151	44.65292	6.29330	6.92451	3.17869	0.00000	6.19965
1358	Mark Cummings	5.02269	no	5.45916	divoced	804-27-9123	0.58994	87.61295	6.55206	81.83952	51.87348	39.30430	7.30009	6.90045	9.65647	1.00000	4.68601
1359	Abigail Ferguson	6.91260	no	6.50195	separated	103-81-1144	1.14274	40.22358	7.81614	83.65971	55.33054	44.03291	7.95326	6.78947	3.93728	0.00000	5.38204
